順位,名称・コード・市場,取引値,発行済み株式数,時価総額(百万円),単元株数
123,シスメックス(株)6869東証PRM掲示板,"2,45306/20","629,476,176株","1,544,105百万円",100
124,大成建設(株)1801東証PRM掲示板,"8,32006/20","183,166,472株","1,523,945百万円",100
125,西日本旅客鉄道(株)9021東証PRM掲示板,"3,22206/20","471,009,800株","1,517,594百万円",100
126,大阪ガス(株)9532東証PRM掲示板,"3,74406/20","397,881,800株","1,489,669百万円",100
127,(株)ＭｏｎｏｔａＲＯ3064東証PRM掲示板,"2,93306/20","501,351,000株","1,470,462百万円",100
128,(株)西武ホールディングス9024東証PRM掲示板,"4,51806/20","323,462,920株","1,461,405百万円",100
129,ＳＢＩホールディングス(株)8473東証PRM掲示板,"4,77606/20","303,058,207株","1,447,406百万円",100
130,東宝(株)9602東証PRM掲示板,"8,14906/20","176,000,000株","1,434,224百万円",100
131,サントリー食品インターナショナル(株)2587東証PRM掲示板,"4,61206/20","309,000,000株","1,425,108百万円",100
132,トレンドマイクロ(株)4704東証PRM掲示板,"10,01006/20","140,901,604株","1,410,425百万円",100
